گزارش یک‌سالهٔ استخر — با و بدون قانون ۷ (بولینگر + RSI),,,,,,,,
دورهٔ 365 روزه · مارتینگل · قیمتِ ۵۰-۵۰ بدون اسپرد و کارمزد,,,,,,,,
بدون قانون ۷,سیگنال,20661,دقت,0.5371472823193456,در روز,56.6,در ماه,1698
با قانون ۷,سیگنال,21303,دقت,0.5381401680514482,در روز,58.4,در ماه,1751
سود و ریسک به تفکیکِ ساختار,,,,,,,,
ساختار,سود سال,سود ماهانه,سود هفتگی,سود روزانه,بدترین افت,کف مسیر,انفجار,سود ÷ افت
3 پله · 20$ · بدون قانون ۷,56060,4608,1075,154,2040,-1300,1185,27.5
4 پله · 20$ · بدون قانون ۷,65060,5347,1248,178,4340,-1880,523,15
5 پله · 20$ · بدون قانون ۷,76260,6268,1463,209,3300,-1100,235,23.1
3 پله · 50$ · بدون قانون ۷,140150,11519,2688,384,5100,-3250,1185,27.5
4 پله · 50$ · بدون قانون ۷,162650,13368,3119,446,10850,-4700,523,15
5 پله · 50$ · بدون قانون ۷,190650,15670,3656,522,8250,-2750,235,23.1
3 پله · 20$ · با قانون ۷,59460,4887,1140,163,1720,-900,1213,34.6
4 پله · 20$ · با قانون ۷,69080,5678,1325,189,4020,-1620,534,17.2
5 پله · 20$ · با قانون ۷,81100,6666,1555,222,4000,-1000,239,20.3
3 پله · 50$ · با قانون ۷,148650,12218,2851,407,4300,-2250,1213,34.6
4 پله · 50$ · با قانون ۷,172700,14195,3312,473,10050,-4050,534,17.2
5 پله · 50$ · با قانون ۷,202750,16664,3888,555,10000,-2500,239,20.3
قانون ۷ در 642 پنجره تنها بود و در 0 پنجره خلافِ استخر گفت.,,,,,,,,
همهٔ اعداد خروجیِ شبیه‌سازیِ کندل‌به‌کندل‌اند و ثابت — این گزارشِ تاریخی است، نه مدلِ زنده.,,,,,,,,
