تاریخ,روز هفته,ماه,سیگنال (بدون قانون ۷),برد (بدون قانون ۷),3 پله/20$ (بدون قانون ۷),4 پله/20$ (بدون قانون ۷),5 پله/20$ (بدون قانون ۷),3 پله/50$ (بدون قانون ۷),4 پله/50$ (بدون قانون ۷),5 پله/50$ (بدون قانون ۷),سیگنال (با قانون ۷),برد (با قانون ۷),3 پله/20$ (با قانون ۷),4 پله/20$ (با قانون ۷),5 پله/20$ (با قانون ۷),3 پله/50$ (با قانون ۷),4 پله/50$ (با قانون ۷),5 پله/50$ (با قانون ۷)
2025-07-24,پنج‌شنبه,2025-07,21,7,-160,-180,-500,-400,-450,-1250,21,7,-160,-180,-500,-400,-450,-1250
2025-07-25,جمعه,2025-07,49,30,620,620,620,1550,1550,1550,50,31,640,640,640,1600,1600,1600
2025-07-26,شنبه,2025-07,53,26,100,-80,-100,250,-200,-250,57,28,140,-40,-60,350,-100,-150
2025-07-27,یکشنبه,2025-07,66,26,-320,-680,-720,-800,-1700,-1800,66,26,-320,-680,-720,-800,-1700,-1800
2025-07-28,دوشنبه,2025-07,62,34,120,540,540,300,1350,1350,62,34,120,540,540,300,1350,1350
2025-07-29,سه‌شنبه,2025-07,58,24,-360,-580,0,-900,-1450,0,59,25,-340,-560,20,-850,-1400,50
2025-07-30,چهارشنبه,2025-07,63,29,-260,-320,-660,-650,-800,-1650,63,29,-260,-320,-660,-650,-800,-1650
2025-07-31,پنج‌شنبه,2025-07,80,40,-240,-160,120,-600,-400,300,81,41,-220,-140,140,-550,-350,350
2025-08-01,جمعه,2025-08,64,27,-380,-740,460,-950,-1850,1150,66,29,-260,-620,580,-650,-1550,1450
2025-08-02,شنبه,2025-08,78,35,140,240,220,350,600,550,85,39,280,240,220,700,600,550
2025-08-03,یکشنبه,2025-08,52,25,220,200,500,550,500,1250,54,26,240,220,520,600,550,1300
2025-08-04,دوشنبه,2025-08,39,16,-380,20,320,-950,50,800,39,16,-380,20,320,-950,50,800
2025-08-05,سه‌شنبه,2025-08,65,29,-280,-640,-680,-700,-1600,-1700,66,30,-260,-620,-660,-650,-1550,-1650
2025-08-06,چهارشنبه,2025-08,50,29,320,300,-20,800,750,-50,52,30,340,320,0,850,800,0
2025-08-07,پنج‌شنبه,2025-08,70,42,560,840,840,1400,2100,2100,70,42,560,840,840,1400,2100,2100
2025-08-08,جمعه,2025-08,47,24,200,480,480,500,1200,1200,51,28,280,560,560,700,1400,1400
2025-08-09,شنبه,2025-08,68,28,-760,-1000,-1980,-1900,-2500,-4950,68,28,-760,-1000,-1980,-1900,-2500,-4950
2025-08-10,یکشنبه,2025-08,77,36,-60,-120,-460,-150,-300,-1150,77,36,-60,-120,-460,-150,-300,-1150
2025-08-11,دوشنبه,2025-08,52,32,500,640,640,1250,1600,1600,53,32,500,640,640,1250,1600,1600
2025-08-12,سه‌شنبه,2025-08,39,19,-40,80,-240,-100,200,-600,43,20,-160,100,-220,-400,250,-550
2025-08-13,چهارشنبه,2025-08,55,29,300,580,580,750,1450,1450,58,31,340,620,620,850,1550,1550
2025-08-14,پنج‌شنبه,2025-08,48,26,100,520,520,250,1300,1300,52,28,0,560,560,0,1400,1400
2025-08-15,جمعه,2025-08,49,27,120,240,-80,300,600,-200,52,29,160,280,-40,400,700,-100
2025-08-16,شنبه,2025-08,45,27,260,540,540,650,1350,1350,45,27,260,540,540,650,1350,1350
2025-08-17,یکشنبه,2025-08,74,36,20,-780,720,50,-1950,1800,75,36,20,-780,720,50,-1950,1800
2025-08-18,دوشنبه,2025-08,59,27,-300,-360,-700,-750,-900,-1750,61,28,-280,-340,-680,-700,-850,-1700
2025-08-19,سه‌شنبه,2025-08,55,29,160,-20,-40,400,-50,-100,57,30,180,0,600,450,0,1500
2025-08-20,چهارشنبه,2025-08,73,32,-200,-260,-600,-500,-650,-1500,73,32,-200,-260,-600,-500,-650,-1500
2025-08-21,پنج‌شنبه,2025-08,52,26,-180,520,520,-450,1300,1300,53,26,-320,520,520,-800,1300,1300
2025-08-22,جمعه,2025-08,58,26,-180,220,-100,-450,550,-250,59,27,-160,240,-80,-400,600,-200
2025-08-23,شنبه,2025-08,49,24,-80,-420,-760,-200,-1050,-1900,51,24,-80,-420,-760,-200,-1050,-1900
2025-08-24,یکشنبه,2025-08,54,34,540,380,680,1350,950,1700,54,34,540,380,680,1350,950,1700
