ساعت ET,سیگنال (بدون قانون ۷),در روز (بدون قانون ۷),دقت (بدون قانون ۷),سیگنال (با قانون ۷),در روز (با قانون ۷),دقت (با قانون ۷)
0,613,1.7,0.5236541598694943,638,1.7,0.5297805642633229
1,624,1.7,0.5432692307692307,666,1.8,0.5465465465465466
2,651,1.8,0.5483870967741935,698,1.9,0.5587392550143266
3,725,2,0.5172413793103449,771,2.1,0.5239948119325551
4,776,2.1,0.5412371134020618,812,2.2,0.5406403940886699
5,835,2.3,0.555688622754491,861,2.4,0.554006968641115
6,743,2,0.5168236877523553,771,2.1,0.5201037613488976
7,769,2.1,0.5396618985695709,803,2.2,0.5404732254047323
8,1010,2.8,0.5455445544554456,1029,2.8,0.5471331389698737
9,1434,3.9,0.5383542538354253,1448,4,0.5386740331491713
10,1690,4.6,0.5201183431952663,1698,4.7,0.5206124852767963
11,1555,4.3,0.5299035369774919,1559,4.3,0.5291853752405388
12,1145,3.1,0.5545851528384279,1152,3.2,0.5546875
13,1032,2.8,0.5251937984496124,1047,2.9,0.5262655205348615
14,745,2,0.5664429530201343,762,2.1,0.568241469816273
15,630,1.7,0.5317460317460317,657,1.8,0.5266362252663622
16,556,1.5,0.5161870503597122,581,1.6,0.5180722891566265
17,486,1.3,0.5720164609053497,539,1.5,0.5788497217068646
18,643,1.8,0.5614307931570762,678,1.9,0.5619469026548672
19,644,1.8,0.5481366459627329,676,1.9,0.5458579881656804
20,795,2.2,0.5207547169811321,823,2.3,0.5164034021871203
21,941,2.6,0.5483528161530287,969,2.7,0.5500515995872033
22,847,2.3,0.5489964580873672,863,2.4,0.5480880648899189
23,772,2.1,0.5038860103626943,802,2.2,0.5012468827930174
