سرمایه,آرایش,پایه,پله,نتیجه,تاریخ صفر شدن,بدترین افت
1000,بدون قانون ۷,20,3,صفر شد,2025-08-02,1620
1000,بدون قانون ۷,20,4,صفر شد,2025-07-31,1760
1000,بدون قانون ۷,20,5,صفر شد,2025-07-27,1460
1000,بدون قانون ۷,50,3,صفر شد,2025-07-30,2600
1000,بدون قانون ۷,50,4,صفر شد,2025-07-29,2950
1000,بدون قانون ۷,50,5,صفر شد,2025-07-24,1550
1000,با قانون ۷,20,3,دوام آورد,,1720
1000,با قانون ۷,20,4,صفر شد,2025-07-31,1800
1000,با قانون ۷,20,5,صفر شد,2025-07-30,1480
1000,با قانون ۷,50,3,صفر شد,2025-07-31,2750
1000,با قانون ۷,50,4,صفر شد,2025-07-29,3050
1000,با قانون ۷,50,5,صفر شد,2025-07-24,1550
1800,بدون قانون ۷,20,3,دوام آورد,,2040
1800,بدون قانون ۷,20,4,صفر شد,2025-08-05,2540
1800,بدون قانون ۷,20,5,دوام آورد,,3300
1800,بدون قانون ۷,50,3,صفر شد,2025-07-31,3450
1800,بدون قانون ۷,50,4,صفر شد,2025-07-30,3950
1800,بدون قانون ۷,50,5,صفر شد,2025-07-27,3400
1800,با قانون ۷,20,3,دوام آورد,,1720
1800,با قانون ۷,20,4,دوام آورد,,4020
1800,با قانون ۷,20,5,دوام آورد,,4000
1800,با قانون ۷,50,3,صفر شد,2025-08-01,3500
1800,با قانون ۷,50,4,صفر شد,2025-07-30,3900
1800,با قانون ۷,50,5,صفر شد,2025-07-27,3400
2500,بدون قانون ۷,20,3,دوام آورد,,2040
2500,بدون قانون ۷,20,4,دوام آورد,,4340
2500,بدون قانون ۷,20,5,دوام آورد,,3300
2500,بدون قانون ۷,50,3,صفر شد,2025-08-02,4050
2500,بدون قانون ۷,50,4,صفر شد,2025-07-31,4400
2500,بدون قانون ۷,50,5,صفر شد,2025-07-27,3650
2500,با قانون ۷,20,3,دوام آورد,,1720
2500,با قانون ۷,20,4,دوام آورد,,4020
2500,با قانون ۷,20,5,دوام آورد,,4000
2500,با قانون ۷,50,3,دوام آورد,,4300
2500,با قانون ۷,50,4,صفر شد,2025-07-31,4500
2500,با قانون ۷,50,5,صفر شد,2025-07-30,3700
3000,بدون قانون ۷,20,3,دوام آورد,,2040
3000,بدون قانون ۷,20,4,دوام آورد,,4340
3000,بدون قانون ۷,20,5,دوام آورد,,3300
3000,بدون قانون ۷,50,3,صفر شد,2025-08-05,4600
3000,بدون قانون ۷,50,4,صفر شد,2025-07-31,4950
3000,بدون قانون ۷,50,5,دوام آورد,,8250
3000,با قانون ۷,20,3,دوام آورد,,1720
3000,با قانون ۷,20,4,دوام آورد,,4020
3000,با قانون ۷,20,5,دوام آورد,,4000
3000,با قانون ۷,50,3,دوام آورد,,4300
3000,با قانون ۷,50,4,صفر شد,2025-08-01,5100
3000,با قانون ۷,50,5,دوام آورد,,10000
5000,بدون قانون ۷,20,3,دوام آورد,,2040
5000,بدون قانون ۷,20,4,دوام آورد,,4340
5000,بدون قانون ۷,20,5,دوام آورد,,3300
5000,بدون قانون ۷,50,3,دوام آورد,,5100
5000,بدون قانون ۷,50,4,دوام آورد,,10850
5000,بدون قانون ۷,50,5,دوام آورد,,8250
5000,با قانون ۷,20,3,دوام آورد,,1720
5000,با قانون ۷,20,4,دوام آورد,,4020
5000,با قانون ۷,20,5,دوام آورد,,4000
5000,با قانون ۷,50,3,دوام آورد,,4300
5000,با قانون ۷,50,4,دوام آورد,,10050
5000,با قانون ۷,50,5,دوام آورد,,10000
