تاریخ تهران,ساعت تهران,پنجره ET,جهت,قانون‌ها,پله,مبلغ,نتیجه,سود/زیان,انفجار,موجودی,قیمت شروع,قیمت پایان
2026-06-03,05:05,09:35PM,بالا,۱,1,20,باخت,-20,,1980,66538.98,66423.0
2026-06-03,05:10,09:40PM,بالا,۱,2,40,برد,40,,2020,66423.0,66541.02
2026-06-03,06:35,11:05PM,بالا,۱,1,20,برد,20,,2040,66331.0,66432.79
2026-06-03,06:45,11:15PM,بالا,۱,1,20,برد,20,,2060,66309.0,66344.99
2026-06-03,06:55,11:25PM,بالا,۱,1,20,باخت,-20,,2040,66065.98,65949.99
2026-06-03,07:00,11:30PM,بالا,۷,2,40,باخت,-40,,2000,65949.99,65936.95
2026-06-03,07:05,11:35PM,بالا,۷,3,80,باخت,-80,انفجار,1920,65936.95,65671.0
2026-06-03,07:10,11:40PM,بالا,۲،۵،۷,1,20,باخت,-20,,1900,65671.0,65603.26
2026-06-03,07:15,11:45PM,بالا,۷,2,40,برد,40,,1940,65603.26,65846.01
2026-06-03,07:30,12:00AM,پایین,۵,1,20,برد,20,,1960,66399.8,66284.99
2026-06-03,07:35,12:05AM,پایین,۵,1,20,برد,20,,1980,66284.99,66249.55
2026-06-03,08:30,01:00AM,پایین,۱،۵,1,20,باخت,-20,,1960,66921.01,66974.26
2026-06-03,08:35,01:05AM,پایین,۱،۵,2,40,باخت,-40,,1920,66974.26,67045.02
2026-06-03,08:40,01:10AM,پایین,۱،۵,3,80,باخت,-80,انفجار,1840,67045.02,67079.0
2026-06-03,08:45,01:15AM,پایین,۱،۵,1,20,برد,20,,1860,67079.0,66953.49
2026-06-03,08:55,01:25AM,پایین,۶,1,20,برد,20,,1880,67008.01,66866.0
2026-06-03,09:20,01:50AM,پایین,۱،۲,1,20,باخت,-20,,1860,67220.31,67238.17
2026-06-03,09:25,01:55AM,پایین,۱,2,40,برد,40,,1900,67238.17,67152.82
2026-06-03,09:50,02:20AM,پایین,۱,1,20,برد,20,,1920,67246.41,67153.12
2026-06-03,10:00,02:30AM,پایین,۱،۶,1,20,باخت,-20,,1900,67359.15,67402.65
2026-06-03,10:05,02:35AM,پایین,۱,2,40,برد,40,,1940,67402.65,67217.0
2026-06-03,10:25,02:55AM,بالا,۵,1,20,برد,20,,1960,66885.0,66887.87
2026-06-03,10:45,03:15AM,پایین,۲,1,20,برد,20,,1980,67180.55,67111.07
2026-06-03,13:10,05:40AM,بالا,۷,1,20,برد,20,,2000,66639.38,66920.52
2026-06-03,13:30,06:00AM,پایین,۵,1,20,باخت,-20,,1980,67078.25,67333.99
2026-06-03,15:00,07:30AM,بالا,۲,2,40,باخت,-40,,1940,67090.93,67046.89
2026-06-03,15:45,08:15AM,بالا,۷,3,80,برد,80,,2020,66751.0,66798.56
2026-06-03,16:45,09:15AM,پایین,۱,1,20,برد,20,,2040,67128.73,67016.75
2026-06-03,16:55,09:25AM,بالا,۱,1,20,برد,20,,2060,66749.06,67027.33
2026-06-03,17:10,09:40AM,بالا,۱،۵,1,20,برد,20,,2080,66641.44,66688.78
2026-06-03,17:45,10:15AM,بالا,۱,1,20,برد,20,,2100,66588.65,66606.21
2026-06-03,18:35,11:05AM,بالا,۱،۲,1,20,باخت,-20,,2080,66486.35,66428.03
2026-06-03,18:40,11:10AM,بالا,۱,2,40,باخت,-40,,2040,66428.03,66254.8
2026-06-03,18:45,11:15AM,بالا,۱،۲،۵,3,80,برد,80,,2120,66254.8,66272.49
2026-06-03,18:50,11:20AM,بالا,۵,1,20,برد,20,,2140,66272.49,66492.84
2026-06-03,19:00,11:30AM,بالا,۱,1,20,باخت,-20,,2120,66242.81,66220.64
2026-06-03,19:05,11:35AM,بالا,۱,2,40,باخت,-40,,2080,66220.64,66197.87
2026-06-03,19:10,11:40AM,بالا,۱,3,80,برد,80,,2160,66197.87,66209.41
2026-06-03,19:20,11:50AM,بالا,۱,1,20,باخت,-20,,2140,66113.69,65979.71
2026-06-03,19:25,11:55AM,بالا,۱,2,40,برد,40,,2180,65979.71,66054.92
2026-06-03,19:45,12:15PM,بالا,۱,1,20,باخت,-20,,2160,65959.92,65554.69
2026-06-03,19:50,12:20PM,بالا,۱،۲،۵،۷,2,40,باخت,-40,,2120,65554.69,65517.09
2026-06-03,19:55,12:25PM,بالا,۱،۵،۷,3,80,برد,80,,2200,65517.09,65653.91
2026-06-03,20:00,12:30PM,بالا,۵,1,20,برد,20,,2220,65653.91,65814.97
2026-06-03,21:00,01:30PM,پایین,۵,1,20,باخت,-20,,2200,66063.39,66071.39
2026-06-03,23:20,03:50PM,بالا,۱،۷,2,40,برد,40,,2240,65269.96,65371.67
2026-06-03,23:30,04:00PM,بالا,۱،۵,1,20,برد,20,,2260,65237.09,65309.0
2026-06-04,00:10,04:40PM,بالا,۱,1,20,باخت,-20,,2240,65104.65,65022.98
2026-06-04,00:15,04:45PM,بالا,۱,2,40,باخت,-40,,2200,65022.98,64971.92
2026-06-04,00:20,04:50PM,بالا,۱,3,80,باخت,-80,انفجار,2120,64971.92,64916.94
2026-06-04,00:25,04:55PM,بالا,۱،۳,1,20,برد,20,,2140,64916.94,65188.74
2026-06-04,00:45,05:15PM,پایین,۵,1,20,برد,20,,2160,65438.68,65436.62
2026-06-04,01:00,05:30PM,پایین,۱,1,20,برد,20,,2180,65509.2,65375.25
